# Time-averaged data for fix gr
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
500 200
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0.0569003 0.00408163
70 0.86875 0.0785143 0.00979592
71 0.88125 0.497575 0.0465306
72 0.89375 0.981232 0.12
73 0.90625 1.90314 0.26449
74 0.91875 2.46057 0.453878
75 0.93125 3.30648 0.711837
76 0.94375 4.37778 1.05796
77 0.95625 4.72816 1.43673
78 0.96875 4.41569 1.7951
79 0.98125 4.94533 2.20163
80 0.99375 4.26538 2.55673
81 1.00625 4.77404 2.95918
82 1.01875 3.95984 3.29714
83 1.03125 3.61893 3.6098
84 1.04375 3.09947 3.88082
85 1.05625 2.5923 4.1102
86 1.06875 2.43434 4.32816
87 1.08125 2.04571 4.51347
88 1.09375 1.79961 4.67837
89 1.10625 1.55907 4.82286
90 1.11875 1.37616 4.95184
91 1.13125 1.16284 5.06204
92 1.14375 1.05642 5.16327
93 1.15625 0.969151 5.25714
94 1.16875 0.775366 5.33306
95 1.18125 0.791908 5.41143
96 1.19375 0.538736 5.46531
97 1.20625 0.500841 5.51592
98 1.21875 0.383771 5.5551
99 1.23125 0.300734 5.58612
100 1.24375 0.407395 5.62857
101 1.25625 0.325776 5.66286
102 1.26875 0.299526 5.69469
103 1.28125 0.273788 5.72408
104 1.29375 0.293738 5.75592
105 1.30625 0.246169 5.78286
106 1.31875 0.236446 5.80898
107 1.33125 0.16835 5.82776
108 1.34375 0.188539 5.84898
109 1.35625 0.215539 5.87347
110 1.36875 0.185095 5.89469
111 1.38125 0.190474 5.91673
112 1.39375 0.132835 5.93224
113 1.40625 0.145513 5.94939
114 1.41875 0.144231 5.96653
115 1.43125 0.136163 5.98286
116 1.44375 0.141734 6
117 1.45625 0.194047 6.02367
118 1.46875 0.205664 6.04898
119 1.48125 0.144724 6.06694
120 1.49375 0.234839 6.09633
121 1.50625 0.258767 6.12898
122 1.51875 0.288716 6.16571
123 1.53125 0.318177 6.20653
124 1.54375 0.296665 6.2449
125 1.55625 0.413247 6.29878
126 1.56875 0.39132 6.3502
127 1.58125 0.554609 6.42367
128 1.59375 0.703109 6.51755
129 1.60625 0.740103 6.61714
130 1.61875 0.716329 6.71429
131 1.63125 0.764601 6.81878
132 1.64375 0.877347 6.93959
133 1.65625 0.964858 7.07347
134 1.66875 1.20288 7.24163
135 1.68125 1.27507 7.42122
136 1.69375 1.36922 7.61551
137 1.70625 1.43914 7.82122
138 1.71875 1.42867 8.02694
139 1.73125 1.55907 8.25306
140 1.74375 1.45848 8.46612
141 1.75625 1.34269 8.66367
142 1.76875 1.28361 8.85388
143 1.78125 1.61377 9.09469
144 1.79375 1.52648 9.32408
145 1.80625 1.61841 9.56898
146 1.81875 1.71444 9.8302
147 1.83125 1.5165 10.0629
148 1.84375 1.60135 10.3102
149 1.85625 1.58007 10.5559
150 1.86875 1.80414 10.8384
151 1.88125 1.88539 11.1355
152 1.89375 1.9244 11.4408
153 1.90625 1.77376 11.7241
154 1.91875 1.7165 12
155 1.93125 1.86685 12.302
156 1.94375 1.78967 12.5935
157 1.95625 1.71348 12.8743
158 1.96875 1.64321 13.1453
159 1.98125 1.83449 13.4498
160 1.99375 1.55418 13.7094
161 2.00625 1.76792 14.0065
162 2.01875 1.49149 14.2588
163 2.03125 1.41036 14.4988
164 2.04375 1.34452 14.729
165 2.05625 1.13258 14.9241
166 2.06875 1.10689 15.1159
167 2.08125 1.14706 15.3159
168 2.09375 1.00525 15.4922
